comment_id,raw_text,sentiment_text,entity_name_canonical,entity_type,oem_group,platform_canonical,provenance,lifecycle_stage_final,vader_compound,sentiment_label,hinglish_terms_detected,sentiment_sampling_reason,human_sentiment_label,human_sentiment_note
c_16f1cfd91abb2b2be25b,What ever you say... electric buses are extremely comfortable ❤,What ever you say... electric buses are extremely comfortable ❤,General/Industry,General/Industry,not_applicable,YouTube,direct_platform_export_unlinked,general_unspecified,0.5563,Positive,,sentiment_positive,,
c_8168e51104973da0d5d2,Already proven there is more denser battery capacity like solid state battery is almost set up for mass production,Already proven there is more denser battery capacity like solid state battery is almost set up for mass production,General/Industry,General/Industry,not_applicable,YouTube,direct_platform_export_unlinked,general_unspecified,0.4767,Positive,,sentiment_positive,,
c_af87662a2defe73b0596,The main point is olectra is associated with megha electronics....the party jispe blame lge the bjp ko bda electoral bond dene ka🌚🎉 10:12,The main point is olectra is associated with megha electronics....the party jispe blame lge the bjp ko bda electoral bond dene ka🌚🎉 10:12,General/Industry,General/Industry,not_applicable,YouTube,direct_platform_export_unlinked,general_unspecified,0.0772,Positive,ka;ko,sentiment_positive,,
c_bc962385f71bcc9af43c,"THIS BHARTIYA COMPANIES WILL MAKE CHINA MANUFACTURING GIANTS TO BUILD REQUIRED BATTERIES INTO BHARAT ITSELF, BECAUSE INTO NEXT SEVEN YEAR'S NUMBER GAMES WILL WORK FOR THEM, ATLEAST WITH NO HYPER PROJECTION 700000 ELECTRIC BUSES ON BHARTIYA ROADS, NOW THIS CHINESE GIANTS ALSO WANT'S TO EARN PROFITS FOR THAT PURPOSE THEY WILL START MANUFACTURING BATTERIES INTO BHARAT ITSELF BECAUSE AFTER SALE SERVICE PLAY A BIG ROLE INTO AUTO INDUSTRY SURVIVAL,
SO DON'T GIVE PANIC JUDGEMENT VIDEOS, AS TATA & OTHER GIANTS ARE CONCERNED THEY WILL ALSO ENTER INTO MARKET WITH GREAT BATTERY TECHNOLOGY INTO HAND'S, FOR THAT PURPOSE CONCEPT WILL GO INTO POSITIVE OUTCOME.
I THINK EVERYTHING IS CLEAR.
OM GANESHAY NAMAHA OM NANDISHWRAY GURUDEV NAMOSTUBHYAM, JAI GAU VANSH NAMOSTUBHYAM, JAI MAHAKAAL MAHAKAALI KA PARIVARTAN YUG PURE 73000 VARSH, OM NAMAHA SHIVAYA SHAMBHU MAHADEV NAMOSTUBHYAM HAR HAR MAHADEV SHAMBHU MAHADEV NAMOSTUBHYAM HAR HAR MAHADEV SHAMBHU MAHADEV NAMOSTUBHYAM","THIS BHARTIYA COMPANIES WILL MAKE CHINA MANUFACTURING GIANTS TO BUILD REQUIRED BATTERIES INTO BHARAT ITSELF, BECAUSE INTO NEXT SEVEN YEAR'S NUMBER GAMES WILL WORK FOR THEM, ATLEAST WITH NO HYPER PROJECTION 700000 ELECTRIC BUSES ON BHARTIYA ROADS, NOW THIS CHINESE GIANTS ALSO WANT'S TO EARN PROFITS FOR THAT PURPOSE THEY WILL START MANUFACTURING BATTERIES INTO BHARAT ITSELF BECAUSE AFTER SALE SERVICE PLAY A BIG ROLE INTO AUTO INDUSTRY SURVIVAL,
SO DON'T GIVE PANIC JUDGEMENT VIDEOS, AS TATA & OTHER GIANTS ARE CONCERNED THEY WILL ALSO ENTER INTO MARKET WITH GREAT BATTERY TECHNOLOGY INTO HAND'S, FOR THAT PURPOSE CONCEPT WILL GO INTO POSITIVE OUTCOME.
I THINK EVERYTHING IS CLEAR.
OM GANESHAY NAMAHA OM NANDISHWRAY GURUDEV NAMOSTUBHYAM, JAI GAU VANSH NAMOSTUBHYAM, JAI MAHAKAAL MAHAKAALI KA PARIVARTAN YUG PURE 73000 VARSH, OM NAMAHA SHIVAYA SHAMBHU MAHADEV NAMOSTUBHYAM HAR HAR MAHADEV SHAMBHU MAHADEV NAMOSTUBHYAM HAR HAR MAHADEV SHAMBHU MAHADEV NAMOSTUBHYAM",General/Industry,General/Industry,not_applicable,YouTube,direct_platform_export_unlinked,pre_adoption,0.9736,Positive,ka,sentiment_positive,,
c_cce97b649a318738f64a,I hope EKA expands their service network as their buses look very promising for intercity travel.,I hope EKA expands their service network as their buses look very promising for intercity travel.,EKA Mobility,OEM,new_age,Forum,ai_compiled_secondary,pre_adoption,0.7425,Positive,,sentiment_positive,,
c_dc77d68f6c665e08f2d5,Delhi government has had one of the best EV policy in the country for public transport.,Delhi government has had one of the best EV policy in the country for public transport.,General/Industry,General/Industry,not_applicable,Reddit,ai_compiled_secondary,general_unspecified,0.6369,Positive,,sentiment_positive,,
c_fbfa2cf0a4d3cb53cc4d,The bus number plate did not match the details on our ticket. Conductor insisted it was the correct bus.,The bus number plate did not match the details on our ticket. Conductor insisted it was the correct bus.,NueGo,Operator,not_applicable,Review Platform,ai_compiled_secondary,post_use,0.0772,Positive,,sentiment_positive,,
c_fc740e1afbf633358cbd,"Bus pe solar penal laga sakte hai kya .
Mover karte hui bhi electricity genrate hogi .
Atleast cooling system me hi help ho jae 

And also full battery drain and overloading me bhi heelp ho sakti hai kya ??

Koi pls tell Mee","Bus pe solar penal laga sakte hai kya .
Mover karte hui bhi electricity genrate hogi .
Atleast cooling system me hi help ho jae

And also full battery drain and overloading me bhi heelp ho sakti hai kya ??

Koi pls tell Mee",General/Industry,General/Industry,not_applicable,YouTube,direct_platform_export_unlinked,pre_adoption,0.5204,Positive,bhi;hai;kya,sentiment_positive,,
c_1f9c3616457315b77631,​ @IdoCareForPeople ❎,​ @IdoCareForPeople ❎,General/Industry,General/Industry,not_applicable,YouTube,direct_platform_export_unlinked,general_unspecified,0.0,Neutral,,sentiment_neutral,,
c_31c76f931de34253fe25,Li-ion batteries are already ~$100. Expected to fall upto $70 in next 12-24months,Li-ion batteries are already ~$100. Expected to fall upto $70 in next 12-24months,General/Industry,General/Industry,not_applicable,YouTube,direct_platform_export_unlinked,general_unspecified,0.0,Neutral,,sentiment_neutral,,
