dominant_topic_id,dimension,group_value,percent,row_count,final_topic_label
0,analysis_group,General/Industry,83.33333333333334,50,Public Transport Economics & Government Operating Models
0,analysis_group,Operator,6.666666666666667,4,Public Transport Economics & Government Operating Models
0,analysis_group,legacy,6.666666666666667,4,Public Transport Economics & Government Operating Models
0,analysis_group,new_age,3.333333333333333,2,Public Transport Economics & Government Operating Models
1,analysis_group,General/Industry,72.1311475409836,44,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,analysis_group,Operator,11.475409836065571,7,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,analysis_group,legacy,13.114754098360656,8,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,analysis_group,new_age,3.278688524590164,2,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
2,analysis_group,General/Industry,88.37209302325581,38,"Battery Technology, Swapping & Lifecycle Economics"
2,analysis_group,Operator,6.976744186046512,3,"Battery Technology, Swapping & Lifecycle Economics"
2,analysis_group,legacy,4.651162790697675,2,"Battery Technology, Swapping & Lifecycle Economics"
2,analysis_group,new_age,0.0,0,"Battery Technology, Swapping & Lifecycle Economics"
3,analysis_group,General/Industry,69.23076923076923,36,"Public Infrastructure, Funding & Alternative Transit"
3,analysis_group,Operator,13.461538461538462,7,"Public Infrastructure, Funding & Alternative Transit"
3,analysis_group,legacy,1.9230769230769231,1,"Public Infrastructure, Funding & Alternative Transit"
3,analysis_group,new_age,15.384615384615383,8,"Public Infrastructure, Funding & Alternative Transit"
4,analysis_group,General/Industry,66.12903225806451,41,"Domestic Manufacturing, R&D & China Dependence"
4,analysis_group,Operator,16.129032258064516,10,"Domestic Manufacturing, R&D & China Dependence"
4,analysis_group,legacy,4.838709677419355,3,"Domestic Manufacturing, R&D & China Dependence"
4,analysis_group,new_age,12.903225806451612,8,"Domestic Manufacturing, R&D & China Dependence"
5,analysis_group,General/Industry,85.1063829787234,40,"Tender Economics, Public Funding & Private Operators"
5,analysis_group,Operator,4.25531914893617,2,"Tender Economics, Public Funding & Private Operators"
5,analysis_group,legacy,6.382978723404255,3,"Tender Economics, Public Funding & Private Operators"
5,analysis_group,new_age,4.25531914893617,2,"Tender Economics, Public Funding & Private Operators"
6,analysis_group,General/Industry,80.95238095238095,34,"New-Age OEM Execution, Reliability & Service Risk"
6,analysis_group,Operator,9.523809523809524,4,"New-Age OEM Execution, Reliability & Service Risk"
6,analysis_group,legacy,0.0,0,"New-Age OEM Execution, Reliability & Service Risk"
6,analysis_group,new_age,9.523809523809524,4,"New-Age OEM Execution, Reliability & Service Risk"
7,analysis_group,General/Industry,95.45454545454544,42,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,analysis_group,Operator,2.272727272727273,1,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,analysis_group,legacy,0.0,0,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,analysis_group,new_age,2.272727272727273,1,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
0,oem_group,legacy,6.666666666666667,4,Public Transport Economics & Government Operating Models
0,oem_group,new_age,3.333333333333333,2,Public Transport Economics & Government Operating Models
