video_file,brand,frame_path,frame_index,timestamp_s,is_shot_cut,pixel_diff,width,height,brightness,contrast,saturation,sharpness,warm_cool_bias,colourfulness,edge_density,visual_balance,figure_ground_sep,ocr_text,ocr_char_len,nf_neg,nf_neu,nf_pos,nf_compound,nf_label,blip_caption,obj_bus,obj_person,obj_truck,obj_car,obj_all,hl_bus_exterior,hl_bus_exterior_flag,hl_bus_interior,hl_bus_interior_flag,hl_charging_infra,hl_charging_infra_flag,hl_fleet_scale,hl_fleet_scale_flag,hl_govt_ceremony,hl_govt_ceremony_flag,hl_tech_showcase,hl_tech_showcase_flag,hl_passenger_comfort,hl_passenger_comfort_flag,hl_operational_proof,hl_operational_proof_flag,hl_brand_marketing,hl_brand_marketing_flag,theme_technology,theme_technology_flag,theme_comfort,theme_comfort_flag,theme_sustainability,theme_sustainability_flag,theme_reliability,theme_reliability_flag,theme_safety,theme_safety_flag,pxy_trust,pxy_modernity,pxy_comfort,pxy_sustainability,pxy_operational_scale,pxy_visual_production,hl_setting,hl_setting_conf,meta_video_file,meta_brand,meta_fps,meta_total_frames,meta_width,meta_height,meta_resolution,meta_duration_seconds,meta_duration_minutes,meta_file_size_mb,meta_aspect_ratio
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000000.jpg,0,0.0,False,0.0,640,360,199.29,71.19,44.58,960.08,-0.044,47.0,0.0826,0.779,0.619,"EB INDIA'S PREMIUM
E-BUS MANUFACTURER",37,0.0,1.0,0.0,0.0,neutral,a bus is parked in front of a building,1,13,1,0,"{""person"": 13, ""bus"": 1, ""truck"": 1}",0.764,True,0.292,False,0.091,False,0.732,True,0.989,True,0.01,False,0.882,True,1.0,True,1.0,True,0.998,True,1.0,True,0.978,True,0.981,True,0.994,True,99.4,30.3,95.3,83.7,95.4,96.4,depot_yard,0.981,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000024.jpg,1,1.0,False,15.469,640,360,198.32,71.36,45.42,727.27,-0.045,46.84,0.082,0.772,0.606,"“gee INDIA'S PREMIUM
PA ous MANUFACTURER",40,0.0,1.0,0.0,0.0,neutral,a blue bus is parked on the side of a road,1,16,0,0,"{""person"": 16, ""bus"": 1}",0.902,True,0.547,True,0.1,False,0.839,True,0.971,True,0.038,False,0.875,True,1.0,True,1.0,True,0.998,True,1.0,True,0.994,True,0.986,True,0.996,True,98.9,50.7,92.7,89.7,93.5,99.0,depot_yard,0.972,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000048.jpg,2,2.0,False,32.429,640,360,197.93,71.95,45.86,653.24,-0.046,47.49,0.0817,0.784,0.645,"Ti: By _INDIA'S PREMIUM =
A E-BUS MANUFACTURER",46,0.0,1.0,0.0,0.0,neutral,a blue bus is parked on the side of a road,1,16,0,0,"{""person"": 16, ""bus"": 1}",0.822,True,0.209,False,0.2,False,0.956,True,0.996,True,0.061,False,0.889,True,1.0,True,0.999,True,0.999,True,1.0,True,0.991,True,0.984,True,0.979,True,99.2,56.9,88.8,76.9,90.2,97.5,studio_launch,0.373,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000072.jpg,3,3.0,False,20.773,640,360,195.82,72.45,47.47,743.33,-0.046,49.2,0.084,0.78,0.633,"INDIA'S PREMIUM
E-BUS MANUFACTURER",34,0.0,1.0,0.0,0.0,neutral,a blue bus parked on a blue platform,1,12,0,0,"{""person"": 12, ""bus"": 1}",0.928,True,0.134,False,0.191,False,0.944,True,0.913,True,0.059,False,0.846,True,1.0,True,1.0,True,0.998,True,1.0,True,0.997,True,0.989,True,0.981,True,98.1,48.7,76.5,85.0,93.6,98.7,depot_yard,0.766,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000096.jpg,4,4.0,False,20.324,640,360,196.82,71.68,47.94,539.69,-0.046,50.12,0.075,0.787,0.654,"‘1 S INDIA'S PREMIUM
: E-BUS MANUFACTURER",41,0.0,1.0,0.0,0.0,neutral,a blue bus parked on a blue carpet,1,12,0,0,"{""person"": 12, ""bus"": 1}",0.95,True,0.331,False,0.218,False,0.973,True,0.967,True,0.085,False,0.8,True,1.0,True,1.0,True,0.996,True,1.0,True,0.994,True,0.998,True,0.961,True,97.7,59.1,56.5,96.8,62.5,97.7,depot_yard,0.741,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000120.jpg,5,5.0,False,72.557,640,360,163.86,75.36,80.41,447.48,-0.098,66.38,0.0699,0.778,0.519,,0,,,,,no_text,a bus is parked in a parking lot,1,8,0,0,"{""person"": 8, ""bus"": 1}",0.746,True,0.316,False,0.03,False,0.248,False,0.151,False,0.196,False,0.553,True,1.0,True,1.0,True,0.858,True,0.997,True,0.986,True,0.984,True,0.984,True,91.4,26.3,52.9,91.9,85.4,67.8,depot_yard,0.695,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000144.jpg,6,6.0,False,36.092,640,360,161.93,75.29,83.16,829.02,-0.103,69.74,0.0867,0.836,0.526,,0,,,,,no_text,a bus is parked in front of a building,1,5,2,1,"{""person"": 5, ""truck"": 2, ""car"": 1, ""bus"": 1}",0.516,True,0.193,False,0.115,False,0.291,False,0.917,True,0.297,False,0.402,False,1.0,True,1.0,True,0.989,True,1.0,True,0.99,True,0.99,True,1.0,True,97.2,12.1,59.0,84.2,83.1,84.4,depot_yard,0.94,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000168.jpg,7,7.0,False,15.511,640,360,161.94,74.97,83.21,665.28,-0.104,69.83,0.0825,0.838,0.531,,0,,,,,no_text,a man getting on a bus at a bus station,1,1,1,1,"{""truck"": 1, ""person"": 1, ""car"": 1, ""bus"": 1}",0.756,True,0.259,False,0.083,False,0.288,False,0.852,True,0.287,False,0.535,True,1.0,True,1.0,True,0.989,True,1.0,True,0.995,True,0.993,True,1.0,True,97.2,32.3,61.0,89.5,87.3,89.2,depot_yard,0.811,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000192.jpg,8,8.0,False,53.163,640,360,182.36,62.19,84.9,462.33,-0.121,89.31,0.0719,0.861,0.571,,0,,,,,no_text,a blue bus parked in front of a building,2,0,0,0,"{""traffic light"": 1, ""bus"": 2}",0.964,True,0.822,True,0.089,False,0.441,False,0.511,True,0.607,True,0.773,True,1.0,True,1.0,True,0.823,True,0.997,True,0.984,True,0.975,True,0.813,True,72.7,13.3,33.5,90.8,62.2,55.1,depot_yard,0.983,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
olectra.mp4,OLECTRA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/olectra/frame_000216.jpg,9,9.0,False,32.707,640,360,177.68,61.59,90.42,595.37,-0.128,92.25,0.0803,0.938,0.591,,0,,,,,no_text,a blue bus parked in a parking,2,0,0,1,"{""car"": 1, ""bus"": 2}",0.937,True,0.455,False,0.066,False,0.425,False,0.079,False,0.689,True,0.705,True,1.0,True,1.0,True,0.575,True,0.994,True,0.995,True,0.967,True,0.734,True,41.0,55.8,5.5,98.7,65.2,60.3,depot_yard,0.982,olectra.mp4,OLECTRA,24.0,23280,640,360,640x360,970.0,16.17,63.46,1.778
