video_file,brand,frame_path,frame_index,timestamp_s,is_shot_cut,pixel_diff,width,height,brightness,contrast,saturation,sharpness,warm_cool_bias,colourfulness,edge_density,visual_balance,figure_ground_sep,ocr_text,ocr_char_len,nf_neg,nf_neu,nf_pos,nf_compound,nf_label,blip_caption,obj_bus,obj_person,obj_truck,obj_car,obj_all,hl_bus_exterior,hl_bus_exterior_flag,hl_bus_interior,hl_bus_interior_flag,hl_charging_infra,hl_charging_infra_flag,hl_fleet_scale,hl_fleet_scale_flag,hl_govt_ceremony,hl_govt_ceremony_flag,hl_tech_showcase,hl_tech_showcase_flag,hl_passenger_comfort,hl_passenger_comfort_flag,hl_operational_proof,hl_operational_proof_flag,hl_brand_marketing,hl_brand_marketing_flag,theme_technology,theme_technology_flag,theme_comfort,theme_comfort_flag,theme_sustainability,theme_sustainability_flag,theme_reliability,theme_reliability_flag,theme_safety,theme_safety_flag,pxy_trust,pxy_modernity,pxy_comfort,pxy_sustainability,pxy_operational_scale,pxy_visual_production,hl_setting,hl_setting_conf,meta_video_file,meta_brand,meta_fps,meta_total_frames,meta_width,meta_height,meta_resolution,meta_duration_seconds,meta_duration_minutes,meta_file_size_mb,meta_aspect_ratio
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000000.jpg,0,0.0,False,0.0,640,360,80.74,54.53,135.51,2257.55,-0.256,89.58,0.1095,0.764,0.628,", MOVE BETTER

lil
tt et",24,0.0,0.579,0.421,0.5622,positive,two buses parked in front of a building,2,1,0,0,"{""person"": 1, ""bus"": 2}",0.981,True,0.628,True,0.755,True,0.997,True,0.842,True,0.788,True,0.774,True,1.0,True,1.0,True,0.773,True,0.953,True,0.947,True,0.963,True,0.958,True,88.8,87.4,52.5,99.5,64.9,39.7,depot_yard,0.989,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000030.jpg,1,1.0,False,34.372,640,360,78.24,54.32,131.38,2021.92,-0.239,84.25,0.1114,0.773,0.621,,0,,,,,no_text,two buses parked in a parking with blue carpet,2,1,0,0,"{""person"": 1, ""bus"": 2}",0.958,True,0.626,True,0.769,True,0.993,True,0.867,True,0.607,True,0.809,True,1.0,True,1.0,True,0.844,True,0.973,True,0.969,True,0.976,True,0.967,True,85.5,60.7,62.0,97.2,78.4,44.5,depot_yard,0.995,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000060.jpg,2,2.0,False,25.423,640,360,77.46,54.92,128.61,2037.39,-0.227,79.96,0.1145,0.788,0.616,"rt

5 3 = = — ==
= ee ae a
5 i
in
= ay ——!
; A
‘",48,0.0,1.0,0.0,0.0,neutral,two buses parked in a parking with blue carpet,2,1,0,0,"{""person"": 1, ""bus"": 2}",0.971,True,0.739,True,0.797,True,0.994,True,0.859,True,0.651,True,0.884,True,1.0,True,1.0,True,0.852,True,0.969,True,0.974,True,0.974,True,0.943,True,78.1,83.1,63.3,99.3,68.4,51.7,depot_yard,0.961,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000090.jpg,3,3.0,False,28.273,640,360,77.59,56.47,131.1,1933.07,-0.23,79.45,0.1113,0.781,0.605,,0,,,,,no_text,two buses parked in front of a building,2,1,0,0,"{""person"": 1, ""bus"": 2}",0.955,True,0.716,True,0.777,True,0.991,True,0.839,True,0.481,False,0.639,True,1.0,True,1.0,True,0.923,True,0.979,True,0.988,True,0.958,True,0.971,True,88.2,77.7,56.8,98.3,71.0,55.2,depot_yard,0.983,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000120.jpg,4,4.0,False,52.629,640,360,80.75,58.14,119.21,1698.08,-0.19,70.36,0.1106,0.84,0.579,"SS

es}",7,0.0,1.0,0.0,0.0,neutral,two buses parked in a parking next to each other buses,2,1,0,0,"{""bus"": 2, ""person"": 1}",0.997,True,0.917,True,0.521,True,0.829,True,0.552,True,0.597,True,0.585,True,1.0,True,1.0,True,0.842,True,0.992,True,0.99,True,0.918,True,0.639,True,69.1,95.9,41.5,99.7,85.2,42.9,depot_yard,0.84,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000150.jpg,5,5.0,False,53.923,640,360,79.0,59.27,119.76,1543.66,-0.18,63.89,0.1123,0.855,0.596,,0,,,,,no_text,two buses parked next to each other buses,2,1,0,0,"{""person"": 1, ""bus"": 2}",0.983,True,0.793,True,0.8,True,0.99,True,0.862,True,0.795,True,0.852,True,1.0,True,1.0,True,0.799,True,0.971,True,0.993,True,0.959,True,0.927,True,69.8,94.6,22.4,99.6,76.1,52.8,depot_yard,0.969,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000180.jpg,6,6.0,False,53.347,640,360,83.8,59.63,114.64,2783.14,-0.157,63.71,0.1387,0.879,0.581,,0,,,,,no_text,two buses parked next to each other buses,3,1,0,0,"{""bus"": 3, ""person"": 1}",0.99,True,0.794,True,0.656,True,0.93,True,0.97,True,0.874,True,0.767,True,1.0,True,1.0,True,0.939,True,0.988,True,0.989,True,0.984,True,0.939,True,73.1,97.7,45.0,99.8,72.7,66.2,depot_yard,0.927,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000210.jpg,7,7.0,False,55.54,640,360,80.8,59.97,113.44,1602.82,-0.165,61.6,0.1135,0.86,0.609,"— SS

ae

Im sat",16,0.0,1.0,0.0,0.0,neutral,two buses parked in front of a building,3,0,0,0,"{""bus"": 3}",0.976,True,0.574,True,0.678,True,0.99,True,0.746,True,0.556,True,0.882,True,1.0,True,1.0,True,0.881,True,0.985,True,0.993,True,0.976,True,0.958,True,84.2,87.8,52.0,97.4,61.8,42.3,depot_yard,0.915,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000240.jpg,8,8.0,False,34.306,640,360,86.42,59.29,112.63,1869.56,-0.17,69.84,0.1189,0.867,0.62,"V

=>",5,0.0,1.0,0.0,0.0,neutral,two buses parked in front of a building,3,3,0,0,"{""person"": 3, ""bus"": 3}",0.969,True,0.563,True,0.912,True,0.998,True,0.955,True,0.819,True,0.929,True,1.0,True,1.0,True,0.938,True,0.992,True,0.996,True,0.968,True,0.983,True,82.6,90.3,57.4,99.4,74.1,56.1,depot_yard,0.952,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000270.jpg,9,9.0,False,56.846,640,360,80.26,55.48,132.7,2103.25,-0.232,84.24,0.118,0.762,0.596,,0,,,,,no_text,two buses parked in a parking with blue carpet,2,0,0,0,"{""bus"": 2}",0.97,True,0.836,True,0.252,False,0.875,True,0.562,True,0.567,True,0.674,True,1.0,True,1.0,True,0.768,True,0.966,True,0.961,True,0.97,True,0.684,True,72.8,81.4,46.3,99.1,62.5,54.4,depot_yard,0.919,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000300.jpg,10,10.0,False,32.219,640,360,78.23,55.97,136.4,2114.3,-0.238,83.41,0.1183,0.762,0.589,,0,,,,,no_text,two buses parked next to each other buses,2,0,0,0,"{""bus"": 2}",0.974,True,0.938,True,0.358,False,0.701,True,0.525,True,0.663,True,0.866,True,1.0,True,1.0,True,0.82,True,0.923,True,0.964,True,0.981,True,0.812,True,64.3,94.1,58.4,99.1,81.2,67.3,depot_yard,0.903,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000330.jpg,11,11.0,False,52.397,640,360,76.93,56.27,141.78,1720.53,-0.264,82.96,0.1037,0.729,0.583,"y=

""4 MOVE BETTER

ae

ie
| |",30,0.0,0.658,0.342,0.5622,positive,two buses parked next to each other buses,2,1,0,0,"{""bus"": 2, ""person"": 1}",0.979,True,0.784,True,0.645,True,0.991,True,0.863,True,0.506,True,0.761,True,1.0,True,1.0,True,0.688,True,0.932,True,0.967,True,0.963,True,0.908,True,85.9,92.5,54.1,98.6,78.5,29.3,depot_yard,0.909,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000360.jpg,12,12.0,False,55.502,640,360,86.7,58.21,129.74,973.77,-0.21,81.05,0.0859,0.769,0.561,,0,,,,,no_text,two buses are parked in a parking,2,0,0,0,"{""bus"": 2}",0.999,True,0.985,True,0.487,False,0.984,True,0.608,True,0.467,False,0.972,True,1.0,True,1.0,True,0.919,True,0.985,True,0.985,True,0.981,True,0.919,True,68.1,94.2,35.6,99.8,65.3,32.3,depot_yard,0.873,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000390.jpg,13,13.0,False,57.591,640,360,93.91,60.58,113.61,1799.26,-0.156,79.69,0.1291,0.819,0.573,,0,,,,,no_text,two buses parked in a parking area,2,1,0,0,"{""bus"": 2, ""person"": 1}",0.995,True,0.668,True,0.56,True,0.4,False,0.849,True,0.579,True,0.789,True,1.0,True,1.0,True,0.978,True,0.998,True,0.991,True,0.958,True,0.958,True,88.2,95.5,51.7,99.5,80.2,68.7,depot_yard,0.642,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000420.jpg,14,14.0,False,40.46,640,360,92.79,60.67,109.24,1356.57,-0.145,75.84,0.1283,0.818,0.586,,0,,,,,no_text,a bus is parked in a parking area,1,2,0,0,"{""person"": 2, ""bus"": 1}",0.998,True,0.473,False,0.464,False,0.597,True,0.26,False,0.657,True,0.899,True,1.0,True,1.0,True,0.499,False,0.953,True,0.972,True,0.985,True,0.21,False,78.7,97.5,63.0,99.8,88.8,71.0,urban_road,0.626,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000450.jpg,15,15.0,True,62.791,640,360,79.25,59.0,130.53,1018.55,-0.215,73.25,0.1053,0.787,0.58,,0,,,,,no_text,two buses parked in a parking with blue carpet,2,1,0,0,"{""person"": 1, ""bus"": 2}",0.999,True,0.961,True,0.787,True,0.989,True,0.884,True,0.548,True,0.963,True,1.0,True,1.0,True,0.903,True,0.983,True,0.978,True,0.979,True,0.906,True,84.3,87.0,55.1,99.7,72.9,62.5,depot_yard,0.798,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000480.jpg,16,16.0,True,59.789,640,360,85.85,59.53,120.01,1220.27,-0.195,74.41,0.1083,0.774,0.573,,0,,,,,no_text,two buses parked in a parking next to each other buses,2,0,0,0,"{""bus"": 2}",0.992,True,0.822,True,0.224,False,0.889,True,0.632,True,0.338,False,0.483,False,1.0,True,1.0,True,0.839,True,0.983,True,0.99,True,0.98,True,0.587,True,84.5,87.1,52.7,99.8,72.9,69.2,depot_yard,0.808,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000510.jpg,17,17.0,False,57.389,640,360,84.47,57.82,120.52,1415.85,-0.191,73.27,0.1154,0.846,0.614,,0,,,,,no_text,two buses parked in front of a building,2,0,0,0,"{""bus"": 2}",0.969,True,0.836,True,0.797,True,0.996,True,0.924,True,0.791,True,0.896,True,1.0,True,1.0,True,0.918,True,0.986,True,0.979,True,0.977,True,0.896,True,86.2,90.2,56.1,99.5,53.9,59.9,depot_yard,0.929,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000540.jpg,18,18.0,False,53.985,640,360,86.38,56.75,124.69,2574.89,-0.2,82.79,0.1327,0.783,0.594,,0,,,,,no_text,two buses parked in front of a building,2,1,0,0,"{""bus"": 2, ""person"": 1}",0.999,True,0.904,True,0.149,False,0.72,True,0.574,True,0.374,False,0.83,True,1.0,True,1.0,True,0.589,True,0.886,True,0.93,True,0.921,True,0.176,False,75.3,96.8,61.0,99.8,88.1,64.0,urban_road,0.419,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000570.jpg,19,19.0,False,49.513,640,360,80.64,55.66,141.24,1926.22,-0.257,88.85,0.1162,0.724,0.567,,0,,,,,no_text,two buses parked in front of a building,2,1,0,0,"{""person"": 1, ""bus"": 2}",0.993,True,0.763,True,0.654,True,0.959,True,0.835,True,0.744,True,0.892,True,1.0,True,1.0,True,0.855,True,0.959,True,0.961,True,0.97,True,0.886,True,77.8,94.3,52.0,98.9,86.8,37.8,depot_yard,0.814,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000600.jpg,20,20.0,False,47.874,640,360,87.57,55.28,135.93,1572.13,-0.239,92.3,0.1205,0.712,0.545,,0,,,,,no_text,two buses parked in front of a building,2,0,0,0,"{""bus"": 2}",0.999,True,0.818,True,0.31,False,0.341,False,0.457,False,0.715,True,0.719,True,1.0,True,1.0,True,0.842,True,0.929,True,0.976,True,0.951,True,0.519,True,74.3,97.2,46.4,99.6,91.4,36.2,urban_road,0.625,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000630.jpg,21,21.0,False,53.541,640,360,91.41,56.94,124.14,2007.86,-0.199,88.5,0.1345,0.777,0.556,,0,,,,,no_text,two buses parked in a parking with people walking by,2,1,0,0,"{""bus"": 2, ""person"": 1}",0.999,True,0.826,True,0.186,False,0.15,False,0.424,False,0.573,True,0.708,True,1.0,True,1.0,True,0.654,True,0.942,True,0.959,True,0.965,True,0.315,False,66.4,96.9,39.9,99.6,90.3,40.5,urban_road,0.515,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000660.jpg,22,22.0,False,36.174,640,360,90.56,58.68,118.19,2242.89,-0.178,82.17,0.1375,0.793,0.573,,0,,,,,no_text,a man is standing next to a bus,1,1,0,0,"{""person"": 1, ""bus"": 1}",0.994,True,0.199,False,0.517,True,0.47,False,0.065,False,0.866,True,0.759,True,1.0,True,1.0,True,0.28,False,0.935,True,0.946,True,0.98,True,0.14,False,71.2,97.2,57.7,99.9,87.0,68.4,urban_road,0.66,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
switch.mp4,SWITCH,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/switch/frame_000690.jpg,23,23.0,True,63.875,640,360,75.89,55.95,126.02,929.22,-0.212,70.08,0.0958,0.862,0.627,,0,,,,,no_text,two buses parked in front of a building,3,2,0,0,"{""person"": 2, ""bus"": 3}",0.886,True,0.506,True,0.899,True,0.999,True,0.959,True,0.788,True,0.952,True,1.0,True,1.0,True,0.893,True,0.997,True,0.989,True,0.974,True,0.994,True,86.4,83.6,65.3,98.8,73.8,79.4,depot_yard,0.981,switch.mp4,SWITCH,29.97,15330,640,360,640x360,511.51,8.53,43.08,1.778
